FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID
3017005720,"Jiangsu Meifan Biotechnology Co., Ltd.",-,China,Drugs,2024-04-03,Warning Letter,676562
3016261803,BIOPTIMAL INTERNATIONAL PTE. LTD.,-,Singapore,Devices,2024-04-03,Warning Letter,678281
3007709579,Seatex LLC,Texas,United States,Drugs,2024-04-01,Warning Letter,672951
3009590582,"Central Admixture Pharmacy Services, Inc.",Pennsylvania,United States,Drugs,2024-03-29,Warning Letter,674736
3011853060,Kilitch Healthcare India Limited,-,India,Drugs,2024-03-28,Warning Letter,672956
3002718545,"Vintage Chemical, Inc.",Indiana,United States,Drugs,2024-03-27,Warning Letter,673930
3018011294,Bodywell Natural Skin Care Inc.,-,Canada,Drugs,2024-03-27,Warning Letter,677099
3017200845,DERMAL SOURCE,Oregon,United States,Drugs,2024-03-25,Warning Letter,663632
3028005436,Painless Tattoo Cream Co.,Utah,United States,Drugs,2024-03-25,Warning Letter,666693
3015204327,INDELICARE DBA INK-EEZE,California,United States,Drugs,2024-03-25,Warning Letter,671656
3028008119,Mahoney Property Ltd,-,United Kingdom,Drugs,2024-03-25,Warning Letter,672467
3027980112,TKTX Company,-,China,Drugs,2024-03-25,Warning Letter,673879
3028143571,SeeNext Venture Ltd,Washington,United States,Drugs,2024-03-25,Warning Letter,674915
3014307835,"Central Admixture Pharmacy Services, Inc.",Arizona,United States,Drugs,2024-03-25,Warning Letter,675065
3025978151,"Antaria Pty., Ltd.",-,Australia,Drugs,2024-03-22,Warning Letter,674495
3010962166,"Agena Bioscience, Inc.",California,United States,Devices,2024-03-21,Warning Letter,665159
3023259471,"Bret R. Rutherford, M.D.",New York,United States,Drugs,2024-03-21,Warning Letter,670544
2431841,N.Y.S. Psychiatric Institute IRB,New York,United States,Drugs,2024-03-21,Warning Letter,670989
3005857264,"Augustine Temperature Management, LLC",Minnesota,United States,Devices,2024-03-21,Warning Letter,671243
3016998650,"Betone, S.A. de C.V.",-,Mexico,Drugs,2024-03-21,Warning Letter,674299
3013042669,"Deqing Jiarou Daily Chemical Co., Ltd",-,China,Drugs,2024-03-19,Warning Letter,677928
3017370207,AMMONIASPORT LLC,California,United States,Drugs,2024-03-18,Warning Letter,672196
3014312726,Sol-Millennium Medical Inc.,Illinois,United States,Devices,2024-03-18,Warning Letter,677524
1417592,"MEDLINE INDUSTRIES, LP - Northfield",Illinois,United States,Devices,2024-03-18,Warning Letter,677545
3003902757,"Jiangsu Shenli Medical Production Co., Ltd.",-,China,Devices,2024-03-18,Warning Letter,677753
3004369035,I.T.S. GmbH,-,Austria,Devices,2024-03-15,Warning Letter,657885
2122870,"Beckman Coulter, Inc.",Minnesota,United States,Devices,2024-03-15,Warning Letter,678042
3016668136,Master Paints & Chemical Corp,Puerto Rico,United States,Drugs,2024-03-13,Warning Letter,672462
3029879389,Skull Smash Ammonia Inhalants,Missouri,United States,Drugs,2024-03-13,Warning Letter,672714
3023254292,SPIROCHAETE RESEARCH LABS LLC,New York,United States,Drugs,2024-03-08,Warning Letter,674278
3017791225,Soulaire Corporation,California,United States,Devices,2024-03-06,Warning Letter,675069
1622491,"Cosmetic Specialty Labs, Inc",Oklahoma,United States,Drugs,2024-02-29,Warning Letter,671239
3014651598,NATIVE SALTS LLC,Illinois,United States,Drugs,2024-02-28,Warning Letter,674277
3003067499,"Thai Nakorn Patana Co., Ltd,",-,Thailand,Drugs,2024-02-27,Warning Letter,672712
3002984417,"Higley Industries, Inc.",Iowa,United States,Drugs,2024-02-22,Warning Letter,669170
3010382813,Innovative Formulations LLC,Arkansas,United States,Drugs,2024-02-22,Warning Letter,672952
3027822577,LightEyez Limited,-,United Kingdom,Drugs,2024-02-15,Warning Letter,665450
3027982030,JustChinaIt,Florida,United States,Drugs,2024-02-15,Warning Letter,665450
3005574978,"Bell International Laboratories, Inc.",Minnesota,United States,Drugs,2024-02-15,Warning Letter,669736
3009529630,"Philips Healthcare (Suzhou) Co., Ltd.",-,China,Devices,2024-02-15,Warning Letter,676605
3013501887,AMMAN PHARMACEUTICAL INDUSTRIES,-,Jordan,Drugs,2024-02-14,Warning Letter,668867
3018035065,Delsam Pharma LLC,New York,United States,Drugs,2024-02-13,Warning Letter,657340
3022210898,"EzriCare, LLC.",New Jersey,United States,Drugs,2024-02-13,Warning Letter,658390
3017660889,"Salvacion USA, Inc.",New Jersey,United States,Drugs,2024-02-13,Warning Letter,672252
3030000849,Human Microbes,California,United States,Biologics,2024-02-13,Warning Letter,672740
3029095356,Synthetix Inc. DBA Helix Chemical Supply,New York,United States,Drugs,2024-02-07,Warning Letter,668918
3029137335,US Chem Labs,Florida,United States,Drugs,2024-02-07,Warning Letter,669074
3019951059,"Ningbo Poplar Daily-Use Commodity Co, Ltd",-,China,Drugs,2024-02-06,Warning Letter,669486
3007588545,Global Life Technologies Corporation,Maryland,United States,Drugs,2024-02-06,Warning Letter,674279
3011139911,"Sichuan Deebio Pharmaceutical Co., Ltd.",-,China,Drugs,2024-02-05,Warning Letter,669808
3018499361,Ehy Holdings LLC,New York,United States,Drugs,2024-02-02,Warning Letter,675591
3007317099,Madhu Instruments Private Limited,-,India,Drugs,2024-02-01,Warning Letter,659694
3006629881,Barkey GmbH & Co. KG,-,Germany,Biologics,2024-01-31,Warning Letter,657073
3003175217,Les Importations Herbasante Inc.,-,Canada,Drugs,2024-01-31,Warning Letter,668412
3005979923,S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED,-,Thailand,Drugs,2024-01-26,Warning Letter,668482
3002690289,"Nobles Medical Technology, II",California,United States,Devices,2024-01-26,Warning Letter,673465
3013931875,"QuVa Pharma, Inc.",New Jersey,United States,Drugs,2024-01-26,Warning Letter,675685
1610391,"Colgin, Inc",Texas,United States,Drugs,2024-01-25,Warning Letter,670332
3012190301,"Mei Lan (Thailand) Company, Ltd.",-,Thailand,Drugs,2024-01-25,Warning Letter,672783
3015660451,Lelypharma BV,-,Netherlands,Drugs,2024-01-24,Warning Letter,673321
3018095920,SAMBROSA CARE INC,California,United States,Drugs,2024-01-24,Warning Letter,673321
1038671,"Exactech, Inc.",Florida,United States,Devices,2024-01-19,Warning Letter,669904
3016420687,"Glicerinas Industriales, S.A de C.V",-,Mexico,Drugs,2024-01-16,Warning Letter,665472
3001890611,Dr. Joel Kaplan Inc.,California,United States,Devices,2024-01-08,Warning Letter,667193
1000140026,R&D Batteries Inc,Minnesota,United States,Devices,2024-01-05,Warning Letter,661514
3014732157,"Fresenius Kabi USA, LLC",Massachusetts,United States,Devices,2024-01-04,Warning Letter,671249
3017199840,Prime Lab LLC,Puerto Rico,United States,Drugs,2024-01-02,Warning Letter,667057
3014653532,Woori Life & Health,-,-,Drugs,2023-12-28,Warning Letter,672936
3000134760,Techlem Medical Corporation,-,Canada,Devices,2023-12-26,Warning Letter,671395
3015433660,EAST FORK CULTIVARS,Oregon,United States,Drugs,2023-12-22,Warning Letter,654211
3015063793,COMERCIALIZADORA HERBAMEX,-,Mexico,Drugs,2023-12-21,Warning Letter,671066
3020861968,GRUPO YPENZA DE MEXICO SA DE CV,-,Mexico,Drugs,2023-12-21,Warning Letter,671066
3015859325,KUKAMONGA,-,Mexico,Drugs,2023-12-21,Warning Letter,671066
3014611081,PLANTAS MEDICINALES DE MEXICO,-,Mexico,Drugs,2023-12-21,Warning Letter,671066
3027716877,Botanical Be,Texas,United States,Drugs,2023-12-21,Warning Letter,671066
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2023-12-20,Warning Letter,662503
3009814715,"MiMedx Group, Inc.",Georgia,United States,Biologics,2023-12-20,Warning Letter,662942
3027553871,"Hua Da Trading, Inc. dba Wefun Inc.",New York,United States,Drugs,2023-12-20,Warning Letter,664359
3023464259,"Jeffrey W. Taub, M.D.",Michigan,United States,Drugs,2023-12-19,Warning Letter,674545
1000122232,Inopak Ltd,New Jersey,United States,Drugs,2023-12-15,Warning Letter,667411
3009250196,Patcos Cosmetics (India) Private Limited,-,India,Drugs,2023-12-15,Warning Letter,669465
3019843904,OMEZA LLC,Florida,United States,Drugs,2023-12-12,Warning Letter,665762
3023890987,"Anish Shah, M.D.",California,United States,Drugs,2023-12-12,Warning Letter,674073
3003092372,Dextrum Laboratories Inc.,Florida,United States,Drugs,2023-12-07,Warning Letter,666442
3028011400,"Novid Group, Inc",California,United States,Drugs,2023-12-07,Warning Letter,672251
2011035,COLONIAL DAMES CO LTD,California,United States,Drugs,2023-12-06,Warning Letter,659151
3013324771,OXYGENETIX INSTITUTE INC,California,United States,Drugs,2023-12-06,Warning Letter,659151
3001451489,"Fresenius Medical Care Holdings, Inc.",Massachusetts,United States,Devices,2023-12-04,Warning Letter,666791
3010496070,Sonesta Medical AB,-,Sweden,Devices,2023-12-04,Warning Letter,667325
3029666082,Belmont Eyecare LLC,Illinois,United States,Drugs,2023-12-01,Warning Letter,670186
3027822578,Dr. Berne's Whole Health Products,New Mexico,United States,Drugs,2023-11-22,Warning Letter,665456
3003157498,Intas Pharmaceuticals Limited,-,India,Drugs,2023-11-21,Warning Letter,662868
3008581988,Cipla Limited,-,India,Drugs,2023-11-17,Warning Letter,660904
3006057298,AmLion Toothpaste Mfg Sdn,-,Malaysia,Drugs,2023-11-17,Warning Letter,665879
3015509579,"Nantong Furuida Packaging Products Co., Ltd.",-,China,Drugs,2023-11-17,Warning Letter,667984
3017978054,Cerci Kozmetik Ve Otel Ekipmanlari Pazarlama Ic Ve Dis Ticaret Limited Sirketi,-,Turkey,Drugs,2023-11-17,Warning Letter,669488
3015596082,"WIPRO CONSUMER CARE VIETNAM CO., LTD",-,Vietnam,Drugs,2023-11-16,Warning Letter,660735
3016000795,DISCOVER HEALTH,Colorado,United States,Drugs,2023-11-16,Warning Letter,661488
3009675687,"Xiamen Wally Bath Manufacture Co., Ltd.",-,China,Drugs,2023-11-15,Warning Letter,669407
3005672908,Amazon.com,Kentucky,United States,Drugs,2023-11-13,Warning Letter,665460
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2023-11-13,Warning Letter,665460
3004647124,SUDESAN TEMIZLIK URUNLERI VE AMBALAJ SANAYI TICARET ANONIM S,-,Turkey,Drugs,2023-11-13,Warning Letter,666900
3011214569,"Wello, Inc.",Texas,United States,Devices,2023-11-10,Warning Letter,664806
1000071237,National Chemical Laboratories,Pennsylvania,United States,Drugs,2023-11-08,Warning Letter,662110
3023878838,"Melanie M Hoppers, MD",Tennessee,United States,Drugs,2023-11-08,Warning Letter,671684
3018310083,Saruhan Kimya Ve Temizlik Urunleri Sanayi Ticaret Anonim Sirketi Corlu Subesi,-,Turkey,Drugs,2023-11-06,Warning Letter,669487
3013145340,TERRAGENE S.A.,-,Argentina,Devices,2023-11-01,Warning Letter,667432
3005086865,Acrostak (Schweiz) AG,-,Switzerland,Devices,2023-10-31,Warning Letter,668948
2126821,"Brenntag Great Lakes, LLC",Wisconsin,United States,Drugs,2023-10-27,Warning Letter,660268
3008069988,"Neurotris, Inc. dba A1 Engineering",California,United States,Devices,2023-10-26,Warning Letter,659244
1415939,Abbott Laboratories,Illinois,United States,Biologics,2023-10-24,Warning Letter,669353
1513768,Abbott Laboratories,Ohio,United States,Biologics,2023-10-24,Warning Letter,669353
3012013973,"Elemental Herbs, Inc.",California,United States,Drugs,2023-10-20,Warning Letter,654879
3013757456,WAVi Co.,Colorado,United States,Devices,2023-10-20,Warning Letter,658549
3006252706,"Samm Solutions, Inc (dba) BTS Research",California,United States,Drugs,2023-10-20,Warning Letter,663898
3002960047,"Maria W. Greenwald, MD",California,United States,Drugs,2023-10-20,Warning Letter,670580
3012323885,Global Pharma Healthcare Private Limited,-,India,Drugs,2023-10-19,Warning Letter,657325
3014023545,"ReNovo, Inc.",Oregon,United States,Devices,2023-10-13,Warning Letter,664014
3007295883,"Handock Cosmetics Co., Ltd.",-,-,Drugs,2023-10-04,Warning Letter,658737
3007253462,"Seoul Cosmetics Co., Ltd.",-,-,Drugs,2023-10-02,Warning Letter,653882
3002807701,"Neitz Instruments Co., Ltd.",-,Japan,Devices,2023-10-02,Warning Letter,664336
3006073153,Spectrum Medical Ltd.,-,United Kingdom,Devices,2023-09-29,Warning Letter,666543
3012767995,"Infinant Health, LLC",California,United States,Biologics,2023-09-28,Warning Letter,667715
3015928879,"Antonio E. Blanco, M.D.",Florida,United States,Drugs,2023-09-26,Warning Letter,668519
3027955125,Shot of Joy LLC,California,United States,Drugs,2023-09-25,Warning Letter,665936
3009545790,"Byd Precision Manufacture Co., Ltd",-,China,Devices,2023-09-21,Warning Letter,666250
3004858203,Pharmacy Innovations,Pennsylvania,United States,Drugs,2023-09-20,Warning Letter,667414
3024611819,"Luis Pena-Hernandez, M.D.",Florida,United States,Drugs,2023-09-20,Warning Letter,668217
1220648,"Abiomed, Inc.",Massachusetts,United States,Devices,2023-09-19,Warning Letter,663150
3001576493,P.T. Sankei Medical Industries,-,Indonesia,Devices,2023-09-19,Warning Letter,665754
3017242852,"Hygienic Labs, LLC.",Iowa,United States,Drugs,2023-09-19,Warning Letter,667816
3018035114,"Signature Biologics, LLC",Texas,United States,Biologics,2023-09-18,Warning Letter,631039
3014354419,"ZHAO QING LONGDA BIOTECHNOLOGY CO.,LTD",-,China,Drugs,2023-09-18,Warning Letter,664934
3011761882,"Curexa - East, LLC dba Curexa",New Jersey,United States,Drugs,2023-09-15,Warning Letter,663403
2627511,"Fenwal International, Inc.",Puerto Rico,United States,Biologics,2023-09-14,Warning Letter,657085
3017125078,Maison Blanche LLC,Texas,United States,Drugs,2023-09-14,Warning Letter,666943
1460851,Walgreen Company,Illinois,United States,Drugs,2023-09-12,Warning Letter,662158
3007520648,Gulf States International Inc,Alabama,United States,Drugs,2023-09-12,Warning Letter,666918
1000110034,Similasan AG,-,Switzerland,Drugs,2023-09-11,Warning Letter,658878
3000204701,Kor- Chem Inc,Georgia,United States,Drugs,2023-09-11,Warning Letter,661280
3013501887,AMMAN PHARMACEUTICAL INDUSTRIES,-,Jordan,Drugs,2023-09-11,Warning Letter,663037
1720129,"Optikem International, Inc.",Colorado,United States,Drugs,2023-09-11,Warning Letter,663037
3009705561,Sterling Pharmaceutical Services LLC,Illinois,United States,Drugs,2023-09-11,Warning Letter,663037
3005608157,TRP Company,Nevada,United States,Drugs,2023-09-11,Warning Letter,663037
3027582427,"DR Vitamins, LLC",Texas,United States,Drugs,2023-09-11,Warning Letter,663127
1217081,CVS Health,Rhode Island,United States,Drugs,2023-09-11,Warning Letter,663246
3004351878,Boiron,-,France,Drugs,2023-09-11,Warning Letter,663402
3004611192,Boiron,-,France,Drugs,2023-09-11,Warning Letter,663402
2510831,Boiron Inc.,Pennsylvania,United States,Drugs,2023-09-11,Warning Letter,663402
1460851,Walgreen Company,Illinois,United States,Drugs,2023-09-11,Warning Letter,663404
3027605575,OcluMed,Pennsylvania,United States,Drugs,2023-09-11,Warning Letter,663525
3010171880,Natural Ophthalmics,Colorado,United States,Drugs,2023-09-11,Warning Letter,663758
3004518552,"Natural Ophthalmics, Inc.",Colorado,United States,Drugs,2023-09-11,Warning Letter,663758
3003315146,Caltag Medsystems Ltd,-,United Kingdom,Devices,2023-09-07,Warning Letter,662115
1218914,"Safecor Health, LLC",Massachusetts,United States,Drugs,2023-09-05,Warning Letter,657886
3011069063,Kimera Labs Inc,Florida,United States,Biologics,2023-09-01,Warning Letter,649343
3019411371,Purechempros LLC,Arizona,United States,Drugs,2023-09-01,Warning Letter,649677
3013338037,"Green Pharmaceutical Co., Ltd.",-,-,Drugs,2023-08-23,Warning Letter,663544
3015387681,MOLLUSCUMRX,Florida,United States,Drugs,2023-08-18,Warning Letter,648457
3007963810,"Nature's Innovation, Inc.",Georgia,United States,Drugs,2023-08-18,Warning Letter,648560
3014706754,Walmart Fulfillment KY1 9074,Kentucky,United States,Drugs,2023-08-18,Warning Letter,648620
3005672908,Amazon.com,Kentucky,United States,Drugs,2023-08-18,Warning Letter,649056
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,2023-08-18,Warning Letter,649056
3025765197,Thrasio LLC,Massachusetts,United States,Drugs,2023-08-18,Warning Letter,649788
3025796097,Molluscum Away,Florida,United States,Drugs,2023-08-18,Warning Letter,650100
1031041,"Lex, Inc.",Florida,United States,Drugs,2023-08-17,Warning Letter,656056
1121788,Ambu Inc.,Maryland,United States,Devices,2023-08-16,Warning Letter,661617
1824226,"King Systems Corp. dba Ambu, Inc.",Indiana,United States,Devices,2023-08-16,Warning Letter,661617
3008611487,Gadal Laboratories Inc.,Florida,United States,Drugs,2023-08-15,Warning Letter,655929
3016756938,"K.Boeun Pharmaceutical Co.,Ltd.",-,-,Drugs,2023-08-14,Warning Letter,665099
3003921470,"COSMOBEAUTI LABORATORIES & MANUFACTURING, INC.",California,United States,Drugs,2023-08-11,Warning Letter,657682
3023229437,"Tesla Biohealing, Inc.",Delaware,United States,Devices,2023-08-10,Warning Letter,658010
3020678722,CALMCO LLC,Florida,United States,Drugs,2023-08-09,Warning Letter,663668
1413064,Alva-Amco Pharmacal Cos Inc.,Illinois,United States,Drugs,2023-08-09,Warning Letter,663727
3006403166,International Laboratories Corp,-,Thailand,Drugs,2023-08-08,Warning Letter,664352
3022938366,"Angela M. Stupi, M.D.",Pennsylvania,United States,Drugs,2023-08-08,Warning Letter,665471
3017301021,"Laavo Clean, S.A. de C.V.",-,Mexico,Drugs,2023-08-07,Warning Letter,646574
3017539604,CERGOMEX IMPORTS LLC,Texas,United States,Drugs,2023-08-04,Warning Letter,664362
3012495223,GTP International Corp,Texas,United States,Drugs,2023-08-04,Warning Letter,664367
2518137,AstraZeneca Pharmaceuticals LP,Delaware,United States,Drugs,2023-08-04,Warning Letter,664789
2026940,"K.C. Pharmaceuticals, Inc",California,United States,Drugs,2023-08-03,Warning Letter,654986
3007255059,LCC Ltd.,-,-,Drugs,2023-08-03,Warning Letter,657336
3015282935,"FANCYSTAGE, UNIPESSOAL, LDA.",-,Portugal,Drugs,2023-08-03,Warning Letter,657341
3004135088,Tan-Alize Kozmetik ve Temizlik Urunleri Sanayi ve Ticaret A.S.,-,Turkey,Drugs,2023-08-03,Warning Letter,659854
3015154915,ORCHID LIFESCIENCES,-,India,Drugs,2023-08-03,Warning Letter,663478
3016067439,Suhan Aerosol,-,India,Drugs,2023-08-03,Warning Letter,663489
3012845410,"Sangleaf Pharm., Co Ltd",-,-,Drugs,2023-08-03,Warning Letter,663495
3014583374,Avaria Health & Beauty Corp.,-,Canada,Drugs,2023-08-03,Warning Letter,663507
3010164172,"KM PHARMACEUTICAL CO., LTD.",-,-,Drugs,2023-08-03,Warning Letter,663522
3006127560,Daxal Cosmetics Pvt. Ltd.,-,India,Drugs,2023-08-03,Warning Letter,663658
3017104669,Skyline Herbals Private Limited,-,India,Drugs,2023-08-03,Warning Letter,663659
3004011473,Intas Pharmaceuticals Limited,-,India,Drugs,2023-07-28,Warning Letter,652067
1210580,"Denison Pharmaceuticals, LLC",Rhode Island,United States,Drugs,2023-07-26,Warning Letter,654226
3010680515,US Specialty Formulations LLC,Pennsylvania,United States,Drugs,2023-07-26,Warning Letter,659142
3008861619,Centaur Pharmaceuticals Private Ltd.,-,India,Drugs,2023-07-25,Warning Letter,655231
1626310,"Iso-Tex Diagnostics, Inc.",Texas,United States,Drugs,2023-07-21,Warning Letter,655666
3012263900,"Gadget Island, Inc",California,United States,Drugs,2023-07-21,Warning Letter,658733
3010165392,MEDGEL PRIVATE LIMITED,-,India,Drugs,2023-07-20,Warning Letter,654085
3027306194,Wise Women's Choice,Texas,United States,Drugs,2023-07-20,Warning Letter,658897
3007090726,"Avlon Industries, Inc",Illinois,United States,Drugs,2023-07-18,Warning Letter,652903
3010744574,LXR Biotech,Michigan,United States,Drugs,2023-07-17,Warning Letter,652756
3004170064,"TEI Biosciences, Inc.",Massachusetts,United States,Devices,2023-07-17,Warning Letter,660960
2211383,"Jamol Laboratories, Inc.",New Jersey,United States,Drugs,2023-07-13,Warning Letter,654464
3010355846,"Outset Medical, Inc.",California,United States,Devices,2023-07-05,Warning Letter,656485
3027398816,"Sunshine Trading Company, Inc",Colorado,United States,Drugs,2023-07-03,Warning Letter,660633
1922337,"Fuller Industries, Inc",Kansas,United States,Drugs,2023-06-29,Warning Letter,654425
1049818,Edge Biologicals Inc,Tennessee,United States,Devices,2023-06-27,Warning Letter,660003
3004731564,"Colorado Center for Reproductive Medicine, LC",Virginia,United States,Biologics,2023-06-26,Warning Letter,658251
3015301033,Lydia Co Ltd.,-,-,Drugs,2023-06-26,Warning Letter,659646
3017531807,LABORATORIOS DE FUERZA DE LA SALUD S.A DE CV,-,Mexico,Drugs,2023-06-22,Warning Letter,657631
3025764224,Suprimo Imports,California,United States,Drugs,2023-06-22,Warning Letter,657631
3016750083,Row1 Inc. dba Regenative Labs,Florida,United States,Biologics,2023-06-21,Warning Letter,638823
3008493238,"ZYTO Technologies, Inc.",Utah,United States,Devices,2023-06-21,Warning Letter,652316
3011585599,Glenmark Pharmaceuticals Inc  USA,North Carolina,United States,Drugs,2023-06-20,Warning Letter,637162
3014675751,"Chengdu KeCheng Fine Chemicals Co., Ltd.",-,China,Drugs,2023-06-20,Warning Letter,659389
3002686308,"Randy J. Epstein, M.D.",Illinois,United States,Drugs,2023-06-14,Warning Letter,658917
3015549533,VITANG TECHNOLOGY LLC,California,United States,Devices,2023-06-12,Warning Letter,653455
3026850357,Warrior Labz SARMs,California,United States,Drugs,2023-06-12,Warning Letter,655280
3014171113,"Stratus BioSystems, LLC",Texas,United States,Biologics,2023-06-09,Warning Letter,631303
3015826782,Carolina Infusion,South Carolina,United States,Drugs,2023-06-09,Warning Letter,659408
3009729473,"Safe Chain Solutions, Llc",Maryland,United States,Drugs,2023-06-08,Warning Letter,636044
3010241801,"Vital Care Compounder, Inc",Mississippi,United States,Drugs,2023-06-06,Warning Letter,659051
3003973520,Centaur Pharmaceuticals Private Ltd.,-,India,Drugs,2023-06-05,Warning Letter,651080
3021858471,Mr. Lulu LLC,California,United States,Drugs,2023-06-01,Warning Letter,650772
3019300800,RenatiLabs Inc,Kentucky,United States,Biologics,2023-05-31,Warning Letter,646353
3003340745,Ming Fai Industrial (Shenzhen) Co LTD,-,China,Devices,2023-05-31,Warning Letter,660075
3021539793,"Mobeen Mazhar, M.D.",Texas,United States,Drugs,2023-05-31,Warning Letter,660335
3002998723,Neilmed Pharmaceuticals Inc,California,United States,Drugs,2023-05-26,Warning Letter,650263
3003348498,ImprimisRx NJ,New Jersey,United States,Drugs,2023-05-26,Warning Letter,657453
3021769057,"iRhythm Technologies, Inc.",California,United States,Devices,2023-05-25,Warning Letter,643474
3005138409,Steiner Biotechnology LLC,Nevada,United States,Devices,2023-05-19,Warning Letter,651802
3018725547,CMHP Private Limited,-,India,Drugs,2023-05-18,Warning Letter,656743
3012282535,CAD Import Inc.,Delaware,United States,Drugs,2023-05-18,Warning Letter,656743
3008874708,"Pharmadel, LLC",Delaware,United States,Drugs,2023-05-18,Warning Letter,656743
3010371376,"New England Life Care, Inc. dba Advanced Compounding Solutions",Massachusetts,United States,Drugs,2023-05-16,Warning Letter,659161
3005841768,RemedyRepack Inc.,Pennsylvania,United States,Drugs,2023-05-11,Warning Letter,649198
3025370979,iSlim LLC,Florida,United States,Drugs,2023-05-04,Warning Letter,655819
3016775373,"Drivergent, Inc.",Michigan,United States,Drugs,2023-05-01,Warning Letter,647234
3015269827,"Pharmedica USA, LLC",Arizona,United States,Drugs,2023-04-28,Warning Letter,648269
